"ORF"	"Gene"	"Expression"
"YLL022C"	"HIF1"	"1.23"
"YLL023C"	"YLL023C"	"2.58"
"YLL024C"	"SSA2"	"158.11"
"YLL026W"	"HSP104"	"4.57"
"YLL029W"	"YLL029W"	"1.54"
"YLL031C"	"YLL031C"	"1.1"
"YLL032C"	"YLL032C"	"0.31"
"YLL034C"	"YLL034C"	"4.75"
"YLL035W"	"YLL035W"	"0.78"
"YLL036C"	"PRP19"	"1.16"
"YLL039C"	"UBI4"	"7.37"
"YLL040C"	"VPS13"	"0.38"
"YLL041C"	"SDH2"	"2.35"
"YLL043W"	"FPS1"	"2.03"
"YLL044W"	"YLL044W"	"94.75"
"YLL045C"	"RPL8B"	"83.01"
"YLL046C"	"RNP1"	"0.08"
"YLL048C"	"YBT1"	"4.53"
"YLL049W"	"YLL049W"	"11.3"
"YLL051C"	"FRE6"	"1.55"
"YLL053C"	"YLL053C"	"6.98"
"YLL054C"	"YLL054C"	"0.43"
"YLL055W"	"YLL055W"	"0.5"
"YLL056C"	"YLL056C"	"0.38"
"YLL057C"	"YLL057C"	"0.26"
"YLL059C"	"YLL059C"	"0.32"
"YLL060C"	"GTT2"	"2.51"
"YLL062C"	"YLL062C"	"0.57"
"YLL063C"	"AYT1"	"0.37"
"YLR001C"	"YLR001C"	"0.42"
"YLR003C"	"YLR003C"	"5.07"
"YLR004C"	"YLR004C"	"0.33"
"YLR005W"	"SSL1"	"0.84"
"YLR006C"	"SSK1"	"1.05"
"YLR025W"	"SNF7"	"3.67"
"YLR026C"	"SED5"	"0.7"
"YLR027C"	"AAT2"	"9.64"
"YLR029C"	"RPL15A"	"129.89"
"YLR030W"	"YLR030W"	"0.54"
"YLR031W"	"YLR031W"	"0.47"
"YLR054C"	"YLR054C"	"1.24"
"YLR055C"	"SPT8"	"1.23"
"YLR056W"	"ERG3"	"13.27"
"YLR057W"	"YLR057W"	"0.46"
"YLR058C"	"SHM2"	"7.47"
"YLR059C"	"YNT20"	"4.22"
"YLR060W"	"FRS1"	"9.29"
"YLR061W"	"RPL22A"	"104.93"
"YLR062C"	"YLR062C"	"107.11"
"YLR063W"	"YLR063W"	"0.41"
"YLR064W"	"YLR064W"	"2.29"
"YLR066W"	"SPC3"	"6.95"
"YLR067C"	"PET309"	"0.31"
"YLR069C"	"MEF1"	"0.61"
"YLR070C"	"YLR070C"	"0.29"
"YLR071C"	"RGR1"	"0.53"
"YLR072W"	"YLR072W"	"1.88"
"YLR074C"	"YLR074C"	"6.54"
"YLR075W"	"RPL10"	"104.85"
"YLR077W"	"YLR077W"	"0.81"
"YLR078C"	"BOS1"	"10.31"
"YLR079W"	"SIC1"	"5.2"
"YLR080W"	"YLR080W"	"0.28"
"YLR081W"	"GAL2"	"0.24"
"YLR083C"	"EMP70"	"11.95"
"YLR084C"	"YLR084C"	"0.61"
"YLR085C"	"ARP6"	"1.05"
"YLR086W"	"SMC4"	"1.16"
"YLR087C"	"YLR087C"	"0.68"
"YLR088W"	"GAA1"	"1.02"
"YLR089C"	"YLR089C"	"2.89"
"YLR090W"	"XDJ1"	"1.54"
"YLR091W"	"YLR091W"	"1.94"
"YLR095C"	"YLR095C"	"3.08"
"YLR096W"	"KIN2"	"1.11"
"YLR097C"	"YLR097C"	"0.61"
"YLR098C"	"CHA4"	"0.34"
"YLR099C"	"YLR099C"	"3.25"
"YLR100W"	"YLR100W"	"11.13"
"YLR101C"	"YLR101C"	"8.49"
"YLR102C"	"APC9"	"1.48"
"YLR103C"	"CDC45"	"0.24"
"YLR104W"	"YLR104W"	"6.98"
"YLR105C"	"SEN2"	"0.87"
"YLR106C"	"YLR106C"	"1.67"
"YLR107W"	"YLR107W"	"0.82"
"YLR108C"	"YLR108C"	"0.63"
"YLR109W"	"YLR109W"	"155.35"
"YLR114C"	"YLR114C"	"0.85"
"YLR116W"	"MSL5"	"1.73"
"YLR117C"	"SYF3"	"1.07"
"YLR118C"	"YLR118C"	"3.59"
"YLR121C"	"YPS4"	"12.11"
"YLR125W"	"YLR125W"	"0.69"
"YLR126C"	"YLR126C"	"1.56"
"YLR128W"	"YLR128W"	"0.46"
"YLR129W"	"DIP2"	"4.09"
"YLR130C"	"ZRT2"	"3.5"
"YLR131C"	"ACE2"	"0.29"
"YLR132C"	"YLR132C"	"0.6"
"YLR133W"	"CKI1"	"0.9"
"YLR134W"	"PDC5"	"0.94"
"YLR135W"	"YLR135W"	"0.18"
"YLR136C"	"TIS11"	"1.79"
"YLR137W"	"YLR137W"	"0.42"
"YLR138W"	"NHA1"	"1.13"
"YLR139C"	"SLS1"	"0.77"
"YLR141W"	"RRN5"	"0.51"
"YLR142W"	"PUT1"	"0.68"
"YLR143W"	"YLR143W"	"0.41"
"YLR144C"	"ACF2"	"0.74"
"YLR145W"	"YLR145W"	"1.48"
"YLR146C"	"SPE4"	"1.35"
"YLR147C"	"SMD3"	"3.72"
"YLR148W"	"PEP3"	"0.98"
"YLR149C"	"YLR149C"	"0.27"
"YLR151C"	"YLR151C"	"0.8"
"YLR152C"	"YLR152C"	"1.03"
"YLR153C"	"ACS2"	"11.54"
"YLR154C"	"YLR154C"	"1.94"
"YLR162W"	"YLR162W"	"0.17"
"YLR163C"	"MAS1"	"1.93"
"YLR166C"	"SEC10"	"0.83"
"YLR168C"	"MSF1'"	"1.69"
"YLR171W"	"YLR171W"	"0.12"
"YLR172C"	"DPH5"	"4.63"
"YLR173W"	"YLR173W"	"0.44"
"YLR175W"	"CBF5"	"30.73"
"YLR177W"	"YLR177W"	"0.83"
"YLR178C"	"TFS1"	"1.55"
"YLR180W"	"SAM1"	"23.73"
"YLR181C"	"YLR181C"	"1.83"
"YLR183C"	"YLR183C"	"0.35"
"YLR185W"	"RPL37A"	"120.13"
"YLR186W"	"YLR186W"	"8.06"
"YLR187W"	"YLR187W"	"0.5"
"YLR188W"	"MDL1"	"1.71"
"YLR191W"	"PEX13"	"1.31"
"YLR193C"	"YLR193C"	"1.72"
"YLR196W"	"PWP1"	"4.09"
"YLR197W"	"SIK1"	"18.32"
"YLR199C"	"YLR199C"	"1.63"
"YLR201C"	"YLR201C"	"5.62"
"YLR203C"	"MSS51"	"2.65"
"YLR207W"	"HRD3"	"1.41"
"YLR208W"	"SEC13"	"30.04"
"YLR209C"	"YLR209C"	"1.21"
"YLR210W"	"CLB4"	"0.57"
"YLR211C"	"YLR211C"	"0.29"
"YLR212C"	"TUB4"	"2.34"
"YLR214W"	"FRE1"	"5.28"
"YLR215C"	"YLR215C"	"0.63"
"YLR216C"	"CPR6"	"8.81"
"YLR217W"	"YLR217W"	"1.62"
"YLR219W"	"YLR219W"	"0.73"
"YLR220W"	"CCC1"	"3.89"
"YLR221C"	"YLR221C"	"1.94"
"YLR222C"	"YLR222C"	"0.79"
"YLR223C"	"IFH1"	"3.58"
"YLR224W"	"YLR224W"	"4.04"
"YLR225C"	"YLR225C"	"5.03"
"YLR228C"	"ECM22"	"0.73"
"YLR229C"	"CDC42"	"11.2"
"YLR230W"	"YLR230W"	"10.91"
"YLR231C"	"YLR231C"	"1.56"
"YLR233C"	"EST1"	"0.29"
"YLR234W"	"TOP3"	"0.62"
"YLR237W"	"THI7"	"2.17"
"YLR238W"	"YLR238W"	"2.02"
"YLR239C"	"YLR239C"	"1.14"
"YLR240W"	"VPS34"	"1.18"
"YLR241W"	"YLR241W"	"3.58"
"YLR242C"	"ARV1"	"1.22"
"YLR243W"	"YLR243W"	"1.61"
"YLR244C"	"MAP1"	"11.51"
"YLR247C"	"YLR247C"	"0.36"
"YLR248W"	"RCK2"	"2.31"
"YLR249W"	"YEF3"	"130.19"
"YLR250W"	"SSP120"	"8.18"
"YLR251W"	"YLR251W"	"0.55"
"YLR253W"	"YLR253W"	"2.71"
"YLR254C"	"YLR254C"	"1.48"
"YLR256W"	"HAP1"	"3.23"
"YLR257W"	"YLR257W"	"11.02"
"YLR258W"	"GSY2"	"0.9"
"YLR259C"	"HSP60"	"24.54"
"YLR260W"	"LCB5"	"1.7"
"YLR262C"	"YPT6"	"1.9"
"YLR263W"	"RED1"	"0.53"
"YLR266C"	"YLR266C"	"0.16"
"YLR268W"	"SEC22"	"9.8"
"YLR269C"	"YLR269C"	"0.34"
"YLR271W"	"YLR271W"	"1.44"
"YLR273C"	"PIG1"	"0.26"
"YLR274W"	"CDC46"	"3.07"
"YLR276C"	"DBP9"	"4.18"
"YLR277C"	"YSH1"	"0.55"
"YLR278C"	"YLR278C"	"0.75"
"YLR281C"	"YLR281C"	"0.62"
"YLR283W"	"YLR283W"	"0.88"
"YLR285W"	"YLR285W"	"12.39"
"YLR286C"	"CTS1"	"26.54"
"YLR287C"	"YLR287C"	"1.95"
"YLR288C"	"MEC3"	"1.16"
"YLR289W"	"GUF1"	"0.18"
"YLR290C"	"YLR290C"	"1.55"
"YLR291C"	"GCD7"	"3.1"
"YLR294C"	"YLR294C"	"6.53"
"YLR296W"	"YLR296W"	"0.24"
"YLR297W"	"YLR297W"	"2.2"
"YLR298C"	"YHC1"	"1.04"
"YLR299W"	"ECM38"	"0.73"
"YLR300W"	"EXG1"	"13.65"
"YLR301W"	"YLR301W"	"8.33"
"YLR302C"	"YLR302C"	"0.32"
"YLR303W"	"MET17"	"5.19"
"YLR304C"	"ACO1"	"5.77"
"YLR305C"	"STT4"	"1.36"
"YLR306W"	"UBC12"	"1.41"
"YLR307W"	"CDA1"	"0.13"
"YLR308W"	"CDA2"	"0.17"
"YLR309C"	"IMH1"	"1.27"
"YLR310C"	"CDC25"	"0.72"
"YLR312C"	"YLR312C"	"0.16"
"YLR313C"	"SPH1"	"0.23"
"YLR314C"	"CDC3"	"2.9"
"YLR315W"	"YLR315W"	"0.36"
"YLR316C"	"YLR316C"	"1.4"
"YLR317W"	"YLR317W"	"1.06"
"YLR318W"	"EST2"	"0.25"
"YLR320W"	"YLR320W"	"0.27"
"YLR321C"	"SFH1"	"2.11"
"YLR322W"	"YLR322W"	"1.15"
"YLR323C"	"YLR323C"	"1.42"
"YLR324W"	"YLR324W"	"0.83"
"YLR325C"	"RPL38"	"216.6"
"YLR326W"	"YLR326W"	"1.11"
"YLR329W"	"REC102"	"0.47"
"YLR333C"	"RPS25B"	"100.09"
"YLR334C"	"YLR334C"	"0.13"
"YLR335W"	"NUP2"	"5.81"
"YLR336C"	"SGD1"	"1.01"
"YLR337C"	"VRP1"	"4.53"
"YLR340W"	"RPP0"	"276.95"
"YLR341W"	"YLR341W"	"0.25"
"YLR342W"	"FKS1"	"40.44"
"YLR344W"	"RPL26A"	"118.14"
"YLR345W"	"YLR345W"	"1.03"
"YLR346C"	"YLR346C"	"1.24"
"YLR347C"	"KAP95"	"2.96"
"YLR348C"	"DIC1"	"1.44"
"YLR349W"	"YLR349W"	"1.85"
"YLR353W"	"BUD8"	"0.88"
"YLR354C"	"TAL1"	"64.46"
"YLR355C"	"ILV5"	"30.62"
"YLR356W"	"YLR356W"	"1.61"
"YLR357W"	"RSC2"	"0.72"
"YLR358C"	"YLR358C"	"1.31"
"YLR359W"	"ADE13"	"5.73"
"YLR360W"	"VPS38"	"0.68"
"YLR361C"	"YLR361C"	"1.35"
"YLR362W"	"STE11"	"2.03"
"YLR363C"	"NMD4"	"3.11"
"YLR364W"	"YLR364W"	"2.61"
"YLR365W"	"YLR365W"	"0.43"
"YLR366W"	"YLR366W"	"0.11"
"YLR368W"	"YLR368W"	"0.54"
"YLR369W"	"SSQ1"	1
"YLR370C"	"ARC18"	"17.71"
"YLR373C"	"YLR373C"	"0.91"
"YLR374C"	"YLR374C"	"0.5"
"YLR375W"	"STP3"	"8.18"
"YLR376C"	"YLR376C"	"0.46"
"YLR377C"	"FBP1"	"0.31"
"YLR378C"	"SEC61"	"59.6"
"YLR379W"	"YLR379W"	"10.88"
"YLR381W"	"YLR381W"	"1.22"
"YLR382C"	"NAM2"	"0.57"
"YLR384C"	"IKI3"	"5.21"
"YLR385C"	"YLR385C"	"0.19"
"YLR386W"	"YLR386W"	"0.59"
"YLR387C"	"YLR387C"	"2.2"
"YLR388W"	"RPS29A"	"230.31"
"YLR389C"	"STE23"	"2.75"
"YLR392C"	"YLR392C"	"0.56"
"YLR393W"	"ATP10"	"0.77"
"YLR396C"	"VPS33"	"0.92"
"YLR397C"	"AFG2"	"1.22"
"YLR398C"	"SKI2"	"0.51"
"YLR399C"	"BDF1"	"2.72"
"YLR400W"	"YLR400W"	"8.08"
"YLR401C"	"YLR401C"	"6.09"
"YLR403W"	"SFP1"	"1.01"
"YLR404W"	"YLR404W"	"1.05"
"YLR405W"	"YLR405W"	"0.76"
"YLR408C"	"YLR408C"	"0.65"
"YLR409C"	"YLR409C"	"1.82"
"YLR410W"	"VIP1"	"3.34"
"YLR411W"	"CTR3"	"0.91"
"YLR413W"	"YLR413W"	"5.51"
"YLR414C"	"YLR414C"	"15.74"
"YLR416C"	"YLR416C"	"0.3"
"YLR417W"	"VPS36"	"0.83"
"YLR418C"	"CDC73"	"2.87"
"YLR419W"	"YLR419W"	"0.39"
"YLR420W"	"URA4"	"2.6"
"YLR421C"	"YLR421C"	"9.38"
"YLR422W"	"YLR422W"	"1.82"
"YLR423C"	"YLR423C"	"0.21"
"YLR424W"	"YLR424W"	"0.42"
"YLR426W"	"YLR426W"	"1.84"
"YLR427W"	"YLR427W"	"0.67"
"YLR429W"	"CRN1"	"3.39"
"YLR430W"	"SEN1"	"0.44"
"YLR431C"	"YLR431C"	"0.49"
"YLR432W"	"YLR432W"	"16.58"
"YLR433C"	"CNA1"	"0.81"
"YLR437C"	"YLR437C"	"5.82"
"YLR438W"	"CAR2"	"5.42"
"YLR439W"	"MRPL4"	"2.1"
"YLR440C"	"YLR440C"	"0.82"
"YLR441C"	"RPS1A"	"51.14"
"YLR442C"	"SIR3"	"0.59"
"YLR443W"	"ECM7"	"1.44"
"YLR445W"	"YLR445W"	"0.05"
"YLR446W"	"YLR446W"	"0.55"
"YLR447C"	"VMA6"	35
"YLR448W"	"RPL6B"	"100.97"
"YLR449W"	"FPR4"	"6.57"
"YLR450W"	"HMG2"	"1.59"
"YLR451W"	"LEU3"	"0.43"
"YLR452C"	"SST2"	"2.18"
"YLR453C"	"RIF2"	"0.34"
"YLR454W"	"YLR454W"	"0.45"
"YLR455W"	"YLR455W"	"1.57"
"YLR456W"	"YLR456W"	"0.61"
"YLR457C"	"NBP1"	"0.62"
"YLR458W"	"YLR458W"	"0.26"
"YLR460C"	"YLR460C"	"1.99"
"YLR465C"	"YLR465C"	"0.32"
"YML002W"	"YML002W"	"0.17"
"YML003W"	"YML003W"	"0.21"
"YML004C"	"GLO1"	"3.95"
"YML007W"	"YAP1"	"2.62"
"YML009C"	"MRPL39"	"4.89"
"YML010W"	"SPT5"	"0.71"
"YML011C"	"YML011C"	"2.15"
"YML012W"	"ERV25"	"14.21"
"YML013W"	"YML013W"	"1.73"
"YML014W"	"YML014W"	"2.56"
"YML015C"	"TAF40"	"1.22"
"YML016C"	"PPZ1"	"2.11"
"YML017W"	"PSP2"	"0.63"
"YML018C"	"YML018C"	"7.29"
"YML020W"	"YML020W"	"0.97"
"YML021C"	"UNG1"	"1.49"
"YML022W"	"APT1"	"43.24"
"YML023C"	"YML023C"	"0.93"
"YML025C"	"YML025C"	"1.63"
"YML026C"	"RPS18B"	"188.25"
"YML027W"	"YOX1"	"1.32"
"YML028W"	"TSA1"	"240.44"
"YML030W"	"YML030W"	"2.17"
"YML031W"	"NDC1"	"4.12"
"YML032C"	"RAD52"	"0.85"
"YML033W"	"YML033W"	"1.73"
"YML034W"	"YML034W"	"0.24"
"YML035C"	"AMD1"	"3.32"
"YML036W"	"YML036W"	"2.39"
"YML037C"	"YML037C"	"0.33"
"YML041C"	"YML041C"	"0.5"
"YML042W"	"CAT2"	"0.13"
"YML043C"	"RRN11"	"1.04"
"YML046W"	"PRP39"	"0.78"
"YML047C"	"YML047C"	"1.4"
"YML048W"	"GSF2"	"14.02"
"YML049C"	"RSE1"	"0.88"
"YML050W"	"YML050W"	"0.22"
"YML051W"	"GAL80"	"1.68"
"YML052W"	"SUR7"	"4.91"
"YML053C"	"YML053C"	"2.34"
"YML054C"	"CYB2"	"0.37"
"YML055W"	"SPC2"	"1.1"
"YML056C"	"YML056C"	"18.43"
"YML057W"	"CMP2"	"5.03"
"YML059C"	"YML059C"	"0.9"
"YML060W"	"OGG1"	"1.58"
"YML061C"	"PIF1"	"0.65"
"YML062C"	"MFT1"	"0.66"
"YML063W"	"RPS1B"	"211.09"
"YML064C"	"TEM1"	"3.46"
"YML065W"	"ORC1"	"0.32"
"YML066C"	"YML066C"	"0.59"
"YML067C"	"YML067C"	"6.73"
"YML068W"	"YML068W"	"0.72"
"YML069W"	"POB3"	"2.03"
"YML070W"	"DAK1"	"2.08"
"YML071C"	"YML071C"	"0.7"
"YML072C"	"YML072C"	"2.99"
"YML073C"	"RPL6A"	"175.18"
"YML075C"	"HMG1"	"3.62"
"YML076C"	"YML076C"	"0.49"
"YML077W"	"BET5"	"4.68"
"YML078W"	"CPR3"	"7.35"
"YML079W"	"YML079W"	"2.67"
"YML080W"	"YML080W"	"0.56"
"YML081W"	"YML081W"	"0.77"
"YML083C"	"YML083C"	"0.24"
"YML084W"	"YML084W"	"0.12"
"YML085C"	"TUB1"	"14.3"
"YML086C"	"ALO1"	"2.6"
"YML087C"	"YML087C"	"0.47"
"YML088W"	"YML088W"	"3.24"
"YML089C"	"YML089C"	"0.2"
"YML090W"	"YML090W"	"0.47"
"YML091C"	"RPM2"	"0.4"
"YML092C"	"PRE8"	"17.87"
"YML093W"	"YML093W"	"1.07"
"YML095C"	"RAD10"	"0.62"
"YML096W"	"YML096W"	"0.88"
"YML097C"	"VPS9"	"5.64"
"YML100W"	"TSL1"	"1.86"
"YML102W"	"CAC2"	"0.91"
"YML103C"	"NUP188"	"1.09"
"YML104C"	"MDM1"	"1.92"
"YML105C"	"SEC65"	"5.44"
"YML106W"	"URA5"	"13.5"
"YML107C"	"YML107C"	"0.58"
"YML109W"	"ZDS2"	"1.36"
"YML113W"	"DAT1"	"3.18"
"YML114C"	"YML114C"	"2.87"
"YML115C"	"VAN1"	"1.4"
"YML116W"	"ATR1"	"1.11"
"YML117W"	"YML117W"	"1.91"
"YML118W"	"YML118W"	"0.28"
"YML119W"	"YML119W"	"1.09"
"YML120C"	"NDI1"	"1.23"
"YML121W"	"GTR1"	"1.34"
"YML122C"	"YML122C"	"0.27"
"YML123C"	"PHO84"	"32.5"
"YML124C"	"TUB3"	"4.9"
"YML125C"	"YML125C"	"10.12"
"YML126C"	"HMGS"	"8.06"
"YML127W"	"YML127W"	"1.23"
"YML128C"	"YML128C"	"0.48"
"YML130C"	"ERO1"	"2.55"
"YML131W"	"YML131W"	"1.41"
"YMR001C"	"CDC5"	"1.48"
"YMR002W"	"YMR002W"	"29.91"
"YMR003W"	"YMR003W"	"0.84"
"YMR005W"	"MPT1"	"2.97"
"YMR007W"	"YMR007W"	"0.39"
"YMR009W"	"YMR009W"	"5.84"
"YMR010W"	"YMR010W"	"0.97"
"YMR011W"	"HXT2"	"39.92"
"YMR012W"	"CLU1"	"2.27"
"YMR013C"	"SEC59"	"0.96"
"YMR014W"	"YMR014W"	"2.12"
"YMR015C"	"ERG5"	"1.86"
"YMR016C"	"SOK2"	"2.42"
"YMR017W"	"SPO20"	"0.09"
"YMR018W"	"YMR018W"	"0.09"
"YMR019W"	"STB4"	"0.35"
"YMR020W"	"FMS1"	"2.53"
"YMR022W"	"QRI8"	"7.43"
"YMR023C"	"MSS1"	"0.3"
"YMR025W"	"YMR025W"	"0.28"
"YMR026C"	"PEX12"	"1.16"
"YMR027W"	"HRT2"	"3.39"
"YMR028W"	"TAP42"	"0.42"
"YMR029C"	"YMR029C"	"1.77"
"YMR030W"	"YMR030W"	"1.11"
"YMR031C"	"YMR031C"	"0.62"
"YMR033W"	"ARP9"	"1.61"
"YMR034C"	"YMR034C"	"1.25"
"YMR035W"	"IMP2"	"4.04"
"YMR036C"	"MIH1"	"0.55"
"YMR037C"	"MSN2"	"1.05"
"YMR039C"	"SUB1"	"4.92"
"YMR040W"	"YMR040W"	"1.11"
"YMR041C"	"YMR041C"	"0.69"
"YMR042W"	"ARG80"	"1.41"
"YMR043W"	"MCM1"	"1.43"
"YMR044W"	"YMR044W"	"0.49"
"YMR046C"	"YMR046C"	"2.42"
"YMR047C"	"NUP116"	"2.26"
"YMR048W"	"YMR048W"	"0.99"
"YMR049C"	"YMR049C"	"3.42"
"YMR052W"	"FAR3"	"0.56"
"YMR053C"	"STB2"	"0.44"
"YMR054W"	"STV1"	"2.59"
"YMR055C"	"BUB2"	"0.67"
"YMR056C"	"AAC1"	"0.83"
"YMR058W"	"FET3"	"13.15"
"YMR060C"	"TOM37"	"0.95"
"YMR061W"	"RNA14"	"0.88"
"YMR062C"	"ECM40"	"1.1"
"YMR063W"	"RIM9"	"0.7"
"YMR064W"	"AEP1"	"0.6"
"YMR066W"	"SOV1"	"0.25"
"YMR067C"	"YMR067C"	"2.24"
"YMR069W"	"YMR069W"	"0.32"
"YMR071C"	"YMR071C"	"6.51"
"YMR072W"	"ABF2"	"13.31"
"YMR073C"	"YMR073C"	"0.96"
"YMR074C"	"YMR074C"	"20.18"
"YMR075W"	"YMR075W"	"0.85"
"YMR077C"	"YMR077C"	"0.27"
"YMR078C"	"CTF18"	"0.74"
"YMR079W"	"SEC14"	"11.09"
"YMR080C"	"NAM7"	"0.57"
"YMR081C"	"ISF1"	"1.42"
"YMR084W"	"YMR084W"	"0.51"
"YMR085W"	"YMR085W"	"0.48"
"YMR086W"	"YMR086W"	"1.49"
"YMR087W"	"YMR087W"	"0.88"
"YMR088C"	"YMR088C"	"1.71"
"YMR090W"	"YMR090W"	"1.21"
"YMR091C"	"NPL6"	"2.45"
"YMR092C"	"AIP1"	"3.91"
"YMR093W"	"YMR093W"	"2.89"
"YMR094W"	"CTF13"	"0.12"
"YMR095C"	"SNO1"	"0.29"
"YMR096W"	"SNZ1"	"0.52"
"YMR097C"	"YMR097C"	"2.99"
"YMR098C"	"YMR098C"	"1.31"
"YMR100W"	"MUB1"	"0.4"
"YMR102C"	"YMR102C"	"1.02"
"YMR104C"	"YPK2"	"1.17"
"YMR105C"	"PGM2"	"0.52"
"YMR107W"	"YMR107W"	"0.15"
"YMR108W"	"ILV2"	"5.49"
"YMR111C"	"YMR111C"	"0.83"
"YMR113W"	"YMR113W"	"0.95"
"YMR114C"	"YMR114C"	"0.35"
"YMR115W"	"YMR115W"	"1.48"
"YMR116C"	"ASC1"	"331.3"
"YMR118C"	"YMR118C"	"0.52"
"YMR119W"	"YMR119W"	"2.59"
"YMR120C"	"ADE17"	"7.14"
"YMR121C"	"RPL15B"	"2.35"
"YMR124W"	"YMR124W"	"0.96"
"YMR125W"	"STO1"	"2.3"
"YMR126C"	"YMR126C"	"1.09"
"YMR127C"	"SAS2"	"0.82"
"YMR128W"	"ECM16"	"0.5"
"YMR129W"	"POM152"	"0.63"
"YMR130W"	"YMR130W"	"3.99"
"YMR131C"	"YMR131C"	"5.88"
"YMR132C"	"YMR132C"	"1.86"
"YMR133W"	"REC114"	"0.59"
"YMR134W"	"YMR134W"	"2.14"
"YMR135C"	"YMR135C"	"0.48"
"YMR139W"	"RIM11"	"0.97"
"YMR140W"	"YMR140W"	"0.43"
"YMR142C"	"RPL13B"	"153.09"
"YMR145C"	"YMR145C"	"4.67"
"YMR146C"	"TIF34"	11
"YMR147W"	"YMR147W"	"1.32"
"YMR149W"	"SWP1"	"5.35"
"YMR150C"	"IMP1"	"2.02"
"YMR154C"	"RIM13"	"0.78"
"YMR155W"	"YMR155W"	"1.29"
"YMR156C"	"YMR156C"	"0.91"
"YMR157C"	"YMR157C"	"1.82"
"YMR158W"	"YMR158W"	"3.8"
"YMR159C"	"SAP18"	"0.28"
"YMR160W"	"YMR160W"	"0.24"
"YMR161W"	"HLJ1"	"1.54"
"YMR162C"	"YMR162C"	"1.5"
"YMR163C"	"YMR163C"	"0.28"
"YMR164C"	"MSS11"	"0.72"
"YMR165C"	"SMP2"	"0.68"
"YMR166C"	"YMR166C"	"0.49"
"YMR167W"	"MLH1"	"1.2"
"YMR168C"	"CEP3"	"0.34"
"YMR169C"	"ALD3"	"0.51"
"YMR170C"	"ALD2"	"0.86"
"YMR171C"	"YMR171C"	"3.37"
"YMR173W"	"DDR48"	"2.81"
"YMR175W"	"SIP18"	"0.15"
"YMR176W"	"ECM5"	"0.35"
"YMR177W"	"MMT1"	"0.41"
"YMR178W"	"YMR178W"	"3.13"
"YMR179W"	"SPT21"	"0.61"
"YMR183C"	"SSO2"	"5.19"
"YMR184W"	"YMR184W"	"4.81"
"YMR185W"	"YMR185W"	"0.75"
"YMR186W"	"HSC82"	"77.47"
"YMR187C"	"YMR187C"	"0.42"
"YMR188C"	"YMR188C"	"1.47"
"YMR189W"	"GCV2"	"2.52"
"YMR190C"	"SGS1"	"0.56"
"YMR191W"	"YMR191W"	"3.07"
"YMR192W"	"YMR192W"	"1.57"
"YMR194W"	"RPL36A"	"123.33"
"YMR195W"	"YMR195W"	"2.56"
"YMR196W"	"YMR196W"	"0.31"
"YMR197C"	"VTI1"	"4.13"
"YMR198W"	"CIK1"	"0.32"
"YMR200W"	"ROT1"	"3.17"
"YMR201C"	"RAD14"	"0.57"
"YMR202W"	"ERG2"	"19.09"
"YMR203W"	"TOM40"	"14.62"
"YMR204C"	"YMR204C"	"0.37"
"YMR205C"	"PFK2"	"21.41"
"YMR206W"	"YMR206W"	"0.17"
"YMR207C"	"HFA1"	"1.16"
"YMR208W"	"ERG12"	"2.26"
"YMR209C"	"YMR209C"	"2.69"
"YMR210W"	"YMR210W"	"1.22"
"YMR211W"	"YMR211W"	"0.64"
"YMR212C"	"YMR212C"	"1.35"
"YMR213W"	"CEF1"	"0.5"
"YMR214W"	"SCJ1"	"2.14"
"YMR215W"	"YMR215W"	"7.87"
"YMR216C"	"SKY1"	"4.24"
"YMR218C"	"YMR218C"	"0.84"
"YMR220W"	"ERG8"	"3.8"
"YMR221C"	"YMR221C"	"2.53"
"YMR223W"	"UBP8"	"1.34"
"YMR224C"	"MRE11"	"0.48"
"YMR226C"	"YMR226C"	"8.34"
"YMR227C"	"TAF67"	"0.58"
"YMR228W"	"MTF1"	"1.42"
"YMR229C"	"RRP5"	"3.29"
"YMR231W"	"PEP5"	"1.09"
"YMR232W"	"FUS2"	"0.1"
"YMR233W"	"YMR233W"	"1.21"
"YMR234W"	"RNH1"	"0.71"
"YMR235C"	"RNA1"	"6.46"
"YMR237W"	"YMR237W"	"9.25"
"YMR238W"	"DFG5"	"12.65"
"YMR239C"	"RNT1"	"0.78"
"YMR240C"	"CUS1"	"0.59"
"YMR241W"	"YHM2"	"16.87"
"YMR242C"	"RPL20A"	"122.79"
"YMR243C"	"ZRC1"	"8.03"
"YMR245W"	"YMR245W"	"1.74"
"YMR246W"	"FAA4"	"12.31"
"YMR247C"	"YMR247C"	"1.62"
"YMR250W"	"YMR250W"	"2.51"
"YMR251W"	"YMR251W"	"0.37"
"YMR253C"	"YMR253C"	"0.32"
"YMR257C"	"PET111"	"0.15"
"YMR258C"	"YMR258C"	"0.48"
"YMR259C"	"YMR259C"	"0.42"
"YMR261C"	"TPS3"	"3.8"
"YMR262W"	"YMR262W"	"0.47"
"YMR264W"	"CUE1"	"3.59"
"YMR265C"	"YMR265C"	"0.79"
"YMR266W"	"YMR266W"	"3.73"
"YMR267W"	"PPA2"	"1.31"
"YMR268C"	"PRP24"	"0.77"
"YMR270C"	"RRN9"	"2.12"
"YMR271C"	"URA10"	"0.27"
"YMR272C"	"SCS7"	"4.51"
"YMR273C"	"ZDS1"	"0.57"
"YMR275C"	"BUL1"	"0.85"
