"ORF"	"Gene"	"Expression"
"YCR098C"	"GIT1"	"0.43"
"YCR099C"	"YCR099C"	"0.33"
"YCR100C"	"YCR100C"	"0.26"
"YCR101C"	"YCR101C"	"0.21"
"YCR102C"	"YCR102C"	"0.91"
"YCR105W"	"YCR105W"	"0.24"
"YCR106W"	"YCR106W"	"0.2"
"YDL001W"	"YDL001W"	"0.46"
"YDL002C"	"NHP10"	"1.28"
"YDL003W"	"MCD1"	"0.86"
"YDL004W"	"ATP16"	"12.04"
"YDL005C"	"MED2"	"1.04"
"YDL006W"	"PTC1"	"0.91"
"YDL008W"	"APC11"	"2.35"
"YDL010W"	"YDL010W"	"2.43"
"YDL011C"	"YDL011C"	"1.12"
"YDL013W"	"HEX3"	"0.3"
"YDL014W"	"NOP1"	"27.52"
"YDL015C"	"YDL015C"	"4.98"
"YDL017W"	"CDC7"	"0.22"
"YDL019C"	"YDL019C"	"0.52"
"YDL020C"	"RPN4"	"5.95"
"YDL021W"	"GPM2"	"0.16"
"YDL022W"	"GPD1"	"4.16"
"YDL025C"	"YDL025C"	"0.19"
"YDL027C"	"YDL027C"	"0.55"
"YDL028C"	"MPS1"	"2.28"
"YDL031W"	"DBP10"	"4.61"
"YDL033C"	"YDL033C"	"0.65"
"YDL036C"	"YDL036C"	"0.65"
"YDL037C"	"YDL037C"	"9.82"
"YDL038C"	"YDL038C"	"4.75"
"YDL040C"	"NAT1"	"5.92"
"YDL042C"	"SIR2"	"0.71"
"YDL043C"	"PRP11"	"0.7"
"YDL044C"	"MTF2"	"0.62"
"YDL045C"	"FAD1"	"2.59"
"YDL046W"	"YDL046W"	"27.96"
"YDL047W"	"SIT4"	"2.1"
"YDL049C"	"KNH1"	"0.5"
"YDL050C"	"YDL050C"	"8.63"
"YDL051W"	"YLA1"	"9.52"
"YDL052C"	"SLC1"	"4.95"
"YDL053C"	"YDL053C"	"3.38"
"YDL054C"	"YDL054C"	"0.88"
"YDL055C"	"PSA1"	"67.33"
"YDL056W"	"MBP1"	"0.65"
"YDL057W"	"YDL057W"	"0.46"
"YDL058W"	"USO1"	"0.33"
"YDL059C"	"RAD59"	"1.18"
"YDL060W"	"YDL060W"	"1.52"
"YDL062W"	"YDL062W"	"1.04"
"YDL063C"	"YDL063C"	"0.72"
"YDL064W"	"UBC9"	"4.48"
"YDL065C"	"PEX19"	"1.96"
"YDL066W"	"IDP1"	"4.26"
"YDL067C"	"COX9"	"16.57"
"YDL069C"	"CBS1"	"0.59"
"YDL070W"	"BDF2"	"5.16"
"YDL072C"	"YDL072C"	"24.02"
"YDL074C"	"YDL074C"	"1.28"
"YDL076C"	"YDL076C"	"1.13"
"YDL077C"	"VAM6"	"0.2"
"YDL080C"	"THI3"	"0.72"
"YDL082W"	"RPL13A"	"34.17"
"YDL083C"	"RPS16B"	"116.58"
"YDL084W"	"SUB2"	"25.58"
"YDL085W"	"YDL085W"	"0.14"
"YDL086W"	"YDL086W"	"6.22"
"YDL088C"	"ASM4"	"0.72"
"YDL089W"	"YDL089W"	"0.55"
"YDL090C"	"RAM1"	"0.75"
"YDL091C"	"YDL091C"	"0.88"
"YDL092W"	"SRP14"	"3.58"
"YDL093W"	"PMT5"	"0.95"
"YDL094C"	"YDL094C"	"0.83"
"YDL095W"	"PMT1"	"22.11"
"YDL096C"	"YDL096C"	"1.37"
"YDL097C"	"RPN6"	"19.22"
"YDL099W"	"YDL099W"	"1.82"
"YDL100C"	"YDL100C"	"11.52"
"YDL101C"	"DUN1"	"0.69"
"YDL102W"	"CDC2"	"0.36"
"YDL103C"	"QRI1"	"3.76"
"YDL104C"	"QRI7"	"1.09"
"YDL105W"	"QRI2"	"0.45"
"YDL106C"	"GRF10"	"0.66"
"YDL108W"	"KIN28"	"0.94"
"YDL109C"	"YDL109C"	"0.33"
"YDL110C"	"YDL110C"	"2.49"
"YDL111C"	"RRP42"	"2.59"
"YDL113C"	"YDL113C"	"0.61"
"YDL114W"	"YDL114W"	"0.14"
"YDL115C"	"YDL115C"	"0.79"
"YDL116W"	"NUP84"	"0.85"
"YDL117W"	"YDL117W"	"3.67"
"YDL118W"	"YDL118W"	"0.31"
"YDL119C"	"YDL119C"	"0.29"
"YDL121C"	"YDL121C"	"6.15"
"YDL122W"	"UBP1"	"0.99"
"YDL123W"	"YDL123W"	"3.08"
"YDL124W"	"YDL124W"	"14.89"
"YDL126C"	"CDC48"	"21.15"
"YDL127W"	"PCL2"	"0.49"
"YDL128W"	"VCX1"	"3.22"
"YDL129W"	"YDL129W"	"1.91"
"YDL131W"	"LYS21"	"17.77"
"YDL132W"	"CDC53"	"0.98"
"YDL134C"	"PPH21"	"5.56"
"YDL135C"	"RDI1"	"2.88"
"YDL136W"	"RPL35B"	"78.65"
"YDL137W"	"ARF2"	"29.13"
"YDL138W"	"RGT2"	"0.51"
"YDL139C"	"YDL139C"	"0.31"
"YDL140C"	"RPO21"	"3.46"
"YDL141W"	"BPL1"	"1.15"
"YDL142C"	"CRD1"	"3.78"
"YDL143W"	"CCT4"	"8.63"
"YDL144C"	"YDL144C"	"3.63"
"YDL145C"	"COP1"	"7.48"
"YDL146W"	"YDL146W"	"0.7"
"YDL147W"	"RPN5"	"2.73"
"YDL149W"	"YDL149W"	"0.16"
"YDL156W"	"YDL156W"	"0.49"
"YDL158C"	"YDL158C"	"3.74"
"YDL159W"	"STE7"	"1.29"
"YDL160C"	"DHH1"	"6.73"
"YDL162C"	"YDL162C"	"0.15"
"YDL164C"	"CDC9"	"5.24"
"YDL165W"	"CDC36"	"9.74"
"YDL166C"	"YDL166C"	"10.06"
"YDL167C"	"NRP1"	"0.87"
"YDL169C"	"UGX2"	"0.34"
"YDL170W"	"UGA3"	"0.26"
"YDL171C"	"GLT1"	"6.79"
"YDL173W"	"YDL173W"	"2.93"
"YDL174C"	"DLD1"	"2.86"
"YDL175C"	"YDL175C"	"0.43"
"YDL176W"	"YDL176W"	"0.23"
"YDL180W"	"YDL180W"	"0.52"
"YDL182W"	"LYS20"	"8.33"
"YDL183C"	"YDL183C"	"0.25"
"YDL186W"	"YDL186W"	"0.41"
"YDL188C"	"PPH22"	"1.87"
"YDL191W"	"RPL35A"	"104.05"
"YDL193W"	"YDL193W"	"3.88"
"YDL194W"	"SNF3"	"0.36"
"YDL195W"	"SEC31"	"4.74"
